window_start,window_end,best_model,best_score,second_model,second_score,score_gap
2010-01-04,2010-05-12,KNeighborsTimeSeries,0.8562,Hidden Markov Model,0.8234,0.0328
2010-02-17,2010-06-24,KNeighborsTimeSeries,0.8679,Hidden Markov Model,0.8117,0.0562
2010-03-31,2010-08-06,KNeighborsTimeSeries,0.8246,Hidden Markov Model,0.8066,0.018
2010-05-13,2010-09-20,Random Forest,0.8165,KNeighborsTimeSeries,0.8072,0.0093
2010-06-25,2010-11-01,Random Forest,0.8151,KNeighborsTimeSeries,0.8086,0.0065
2010-08-09,2010-12-14,Random Forest,0.8134,KNeighborsTimeSeries,0.8103,0.0031
2010-09-21,2011-01-27,KNeighborsTimeSeries,0.8164,Random Forest,0.8073,0.0091
2010-11-02,2011-03-11,Random Forest,0.8171,KNeighborsTimeSeries,0.8065,0.0106
2010-12-15,2011-04-25,Random Forest,0.8128,KNeighborsTimeSeries,0.8108,0.002
2011-01-28,2011-06-07,KNeighborsTimeSeries,0.8133,Random Forest,0.8103,0.003
2011-03-14,2011-07-20,Random Forest,0.8169,KNeighborsTimeSeries,0.8067,0.0102
2011-04-26,2011-08-31,Random Forest,0.8128,KNeighborsTimeSeries,0.8109,0.0019
2011-06-08,2011-10-13,Random Forest,0.8167,KNeighborsTimeSeries,0.8069,0.0098
2011-07-21,2011-11-25,KNeighborsTimeSeries,0.8143,Random Forest,0.8093,0.0051
2011-09-01,2012-01-10,KNeighborsTimeSeries,0.8171,Random Forest,0.8065,0.0106
2011-10-14,2012-02-23,KNeighborsTimeSeries,0.8305,Hidden Markov Model,0.8125,0.018
2011-11-28,2012-04-05,KNeighborsTimeSeries,0.8363,Hidden Markov Model,0.8183,0.018
2012-01-11,2012-05-18,KNeighborsTimeSeries,0.8182,Random Forest,0.8054,0.0127
2012-02-24,2012-07-02,Random Forest,0.8134,KNeighborsTimeSeries,0.8103,0.0031
2012-04-09,2012-08-14,Random Forest,0.8173,KNeighborsTimeSeries,0.8064,0.0109
2012-05-21,2012-09-26,Random Forest,0.8176,KNeighborsTimeSeries,0.8061,0.0115
2012-07-03,2012-11-09,KNeighborsTimeSeries,0.8391,Hidden Markov Model,0.8211,0.018
2012-08-15,2012-12-24,KNeighborsTimeSeries,0.8647,Hidden Markov Model,0.8149,0.0498
2012-09-27,2013-02-07,KNeighborsTimeSeries,0.8597,Hidden Markov Model,0.8199,0.0397
2012-11-12,2013-03-22,KNeighborsTimeSeries,0.8346,Hidden Markov Model,0.8166,0.018
2012-12-26,2013-05-06,KNeighborsTimeSeries,0.8271,Hidden Markov Model,0.8091,0.018
2013-02-08,2013-06-18,KNeighborsTimeSeries,0.8273,Hidden Markov Model,0.8093,0.018
2013-03-25,2013-07-31,Random Forest,0.8172,KNeighborsTimeSeries,0.8064,0.0108
2013-05-07,2013-09-12,Random Forest,0.8176,KNeighborsTimeSeries,0.8061,0.0115
2013-06-19,2013-10-24,Random Forest,0.8176,KNeighborsTimeSeries,0.8061,0.0115
2013-08-01,2013-12-06,KNeighborsTimeSeries,0.865,Hidden Markov Model,0.803,0.062
2013-09-13,2014-01-22,KNeighborsTimeSeries,0.8469,Hidden Markov Model,0.7849,0.062
2013-10-25,2014-03-06,KNeighborsTimeSeries,0.8276,Hidden Markov Model,0.8096,0.018
2013-12-09,2014-04-17,KNeighborsTimeSeries,0.8601,Hidden Markov Model,0.8195,0.0406
2014-01-23,2014-06-02,KNeighborsTimeSeries,0.862,Hidden Markov Model,0.8176,0.0444
2014-03-07,2014-07-15,KNeighborsTimeSeries,0.8372,Hidden Markov Model,0.8192,0.018
2014-04-21,2014-08-26,KNeighborsTimeSeries,0.8137,Random Forest,0.8099,0.0038
2014-06-03,2014-10-08,Random Forest,0.8139,KNeighborsTimeSeries,0.8097,0.0042
2014-07-16,2014-11-19,KNeighborsTimeSeries,0.8281,Hidden Markov Model,0.8101,0.018
2014-08-27,2015-01-05,KNeighborsTimeSeries,0.8643,Hidden Markov Model,0.8154,0.0489
2014-10-09,2015-02-18,KNeighborsTimeSeries,0.8564,Hidden Markov Model,0.8233,0.0331
2014-11-20,2015-04-01,KNeighborsTimeSeries,0.8216,Hidden Markov Model,0.8036,0.018
2015-01-06,2015-05-14,KNeighborsTimeSeries,0.86,Hidden Markov Model,0.798,0.062
2015-02-19,2015-06-26,KNeighborsTimeSeries,0.8579,Hidden Markov Model,0.7959,0.062
2015-04-02,2015-08-10,KNeighborsTimeSeries,0.8201,Random Forest,0.8035,0.0166
2015-05-15,2015-09-22,KNeighborsTimeSeries,0.8135,Random Forest,0.8101,0.0034
2015-06-29,2015-11-03,Random Forest,0.8129,KNeighborsTimeSeries,0.8108,0.0021
2015-08-11,2015-12-16,KNeighborsTimeSeries,0.8174,Random Forest,0.8063,0.0111
2015-09-23,2016-02-01,KNeighborsTimeSeries,0.8424,Hidden Markov Model,0.7804,0.062
2015-11-04,2016-03-15,KNeighborsTimeSeries,0.8466,Hidden Markov Model,0.8286,0.018
2015-12-17,2016-04-27,KNeighborsTimeSeries,0.8659,Hidden Markov Model,0.8137,0.0522
2016-02-02,2016-06-09,KNeighborsTimeSeries,0.8683,Hidden Markov Model,0.8063,0.062
2016-03-16,2016-07-22,Random Forest,0.8122,KNeighborsTimeSeries,0.8115,0.0007
2016-04-28,2016-09-02,Random Forest,0.8135,KNeighborsTimeSeries,0.8101,0.0033
2016-06-10,2016-10-18,Random Forest,0.8139,KNeighborsTimeSeries,0.8098,0.0041
2016-07-25,2016-12-01,KNeighborsTimeSeries,0.8692,Hidden Markov Model,0.8072,0.062
2016-09-06,2017-01-17,KNeighborsTimeSeries,0.8561,Hidden Markov Model,0.7941,0.062
2016-10-19,2017-03-01,KNeighborsTimeSeries,0.8369,Hidden Markov Model,0.8189,0.018
2016-12-02,2017-04-12,KNeighborsTimeSeries,0.8504,Hidden Markov Model,0.8292,0.0212
2017-01-18,2017-05-25,KNeighborsTimeSeries,0.8246,Hidden Markov Model,0.8066,0.018
2017-03-02,2017-07-10,KNeighborsTimeSeries,0.8591,Hidden Markov Model,0.7971,0.062
2017-04-13,2017-08-21,KNeighborsTimeSeries,0.8558,Hidden Markov Model,0.8238,0.0319
2017-05-26,2017-10-03,KNeighborsTimeSeries,0.8447,Hidden Markov Model,0.8267,0.018
2017-07-11,2017-11-14,KNeighborsTimeSeries,0.8604,Hidden Markov Model,0.8192,0.0412
2017-08-22,2017-12-28,KNeighborsTimeSeries,0.8302,Hidden Markov Model,0.8122,0.018
2017-10-04,2018-02-12,KNeighborsTimeSeries,0.8697,Hidden Markov Model,0.8099,0.0598
2017-11-15,2018-03-27,KNeighborsTimeSeries,0.8187,Random Forest,0.8049,0.0138
2017-12-29,2018-05-09,KNeighborsTimeSeries,0.8471,Hidden Markov Model,0.7851,0.062
2018-02-13,2018-06-21,KNeighborsTimeSeries,0.836,Hidden Markov Model,0.818,0.018
2018-03-28,2018-08-03,KNeighborsTimeSeries,0.8376,Hidden Markov Model,0.8196,0.018
2018-05-10,2018-09-17,KNeighborsTimeSeries,0.8254,Hidden Markov Model,0.8074,0.018
2018-06-22,2018-10-29,KNeighborsTimeSeries,0.8617,Hidden Markov Model,0.7997,0.062
2018-08-06,2018-12-12,KNeighborsTimeSeries,0.8594,Hidden Markov Model,0.7974,0.062
2018-09-18,2019-01-30,KNeighborsTimeSeries,0.8488,Hidden Markov Model,0.7868,0.062
2018-10-30,2019-03-14,KNeighborsTimeSeries,0.8382,Hidden Markov Model,0.8202,0.018
2018-12-13,2019-04-26,KNeighborsTimeSeries,0.8707,Hidden Markov Model,0.8087,0.062
2019-01-31,2019-06-10,KNeighborsTimeSeries,0.8243,Hidden Markov Model,0.8063,0.018
2019-03-15,2019-07-23,KNeighborsTimeSeries,0.8428,Hidden Markov Model,0.8248,0.018
2019-04-29,2019-09-04,KNeighborsTimeSeries,0.8171,Random Forest,0.8065,0.0106
2019-06-11,2019-10-16,Random Forest,0.8155,KNeighborsTimeSeries,0.8082,0.0073
2019-07-24,2019-11-27,KNeighborsTimeSeries,0.8132,Random Forest,0.8104,0.0028
2019-09-05,2020-01-13,KNeighborsTimeSeries,0.8345,Hidden Markov Model,0.8165,0.018
2019-10-17,2020-02-26,KNeighborsTimeSeries,0.825,Hidden Markov Model,0.807,0.018
2019-11-29,2020-04-08,KNeighborsTimeSeries,0.863,Hidden Markov Model,0.8166,0.0464
2020-01-14,2020-05-21,KNeighborsTimeSeries,0.8661,Hidden Markov Model,0.8135,0.0526
2020-02-27,2020-07-06,KNeighborsTimeSeries,0.8355,Hidden Markov Model,0.8175,0.018
2020-04-09,2020-08-17,KNeighborsTimeSeries,0.852,Hidden Markov Model,0.8277,0.0243
2020-05-22,2020-09-29,KNeighborsTimeSeries,0.8359,Hidden Markov Model,0.8179,0.018
2020-07-07,2020-11-10,KNeighborsTimeSeries,0.8564,Hidden Markov Model,0.8232,0.0332
2020-08-18,2020-12-23,KNeighborsTimeSeries,0.87,Hidden Markov Model,0.8097,0.0603
