transition_date,from_model,to_model,window_start,window_end
2011-01-28,KNeighborsTimeSeries,Random Forest,2011-01-28,2011-06-07
2011-09-01,Random Forest,KNeighborsTimeSeries,2011-09-01,2012-01-10
2012-02-24,KNeighborsTimeSeries,Random Forest,2012-02-24,2012-07-02
2012-04-09,Random Forest,KNeighborsTimeSeries,2012-04-09,2012-08-14
2013-09-13,KNeighborsTimeSeries,Hidden Markov Model,2013-09-13,2014-01-22
2014-03-07,Hidden Markov Model,KNeighborsTimeSeries,2014-03-07,2014-07-15
2014-10-09,KNeighborsTimeSeries,Hidden Markov Model,2014-10-09,2015-02-18
2015-04-02,Hidden Markov Model,KNeighborsTimeSeries,2015-04-02,2015-08-10
2015-06-29,KNeighborsTimeSeries,Random Forest,2015-06-29,2015-11-03
2015-08-11,Random Forest,KNeighborsTimeSeries,2015-08-11,2015-12-16
2016-06-10,KNeighborsTimeSeries,Random Forest,2016-06-10,2016-10-18
2016-09-06,Random Forest,KNeighborsTimeSeries,2016-09-06,2017-01-17
2016-10-19,KNeighborsTimeSeries,Hidden Markov Model,2016-10-19,2017-03-01
2017-03-02,Hidden Markov Model,KNeighborsTimeSeries,2017-03-02,2017-07-10
2017-04-13,KNeighborsTimeSeries,Hidden Markov Model,2017-04-13,2017-08-21
2017-05-26,Hidden Markov Model,KNeighborsTimeSeries,2017-05-26,2017-10-03
2017-10-04,KNeighborsTimeSeries,Hidden Markov Model,2017-10-04,2018-02-12
2017-11-15,Hidden Markov Model,KNeighborsTimeSeries,2017-11-15,2018-03-27
2018-05-10,KNeighborsTimeSeries,Hidden Markov Model,2018-05-10,2018-09-17
2018-06-22,Hidden Markov Model,KNeighborsTimeSeries,2018-06-22,2018-10-29
2018-09-18,KNeighborsTimeSeries,Hidden Markov Model,2018-09-18,2019-01-30
2019-01-31,Hidden Markov Model,KNeighborsTimeSeries,2019-01-31,2019-06-10
2019-03-15,KNeighborsTimeSeries,Hidden Markov Model,2019-03-15,2019-07-23
2019-04-29,Hidden Markov Model,Random Forest,2019-04-29,2019-09-04
2019-06-11,Random Forest,KNeighborsTimeSeries,2019-06-11,2019-10-16
2019-09-05,KNeighborsTimeSeries,Hidden Markov Model,2019-09-05,2020-01-13
2019-11-29,Hidden Markov Model,KNeighborsTimeSeries,2019-11-29,2020-04-08
2020-04-09,KNeighborsTimeSeries,Hidden Markov Model,2020-04-09,2020-08-17
2020-05-22,Hidden Markov Model,KNeighborsTimeSeries,2020-05-22,2020-09-29
2021-06-18,KNeighborsTimeSeries,Random Forest,2021-06-18,2021-10-25
2021-08-02,Random Forest,KNeighborsTimeSeries,2021-08-02,2021-12-07
2022-08-26,KNeighborsTimeSeries,Hidden Markov Model,2022-08-26,2023-01-04
2023-01-05,Hidden Markov Model,KNeighborsTimeSeries,2023-01-05,2023-05-15
