model,weather_type,group,accuracy
RF,temperature,<0°C,0.8557692307692307
RF,temperature,0-15°C,0.7472868217054264
RF,temperature,15-25°C,0.7310252996005326
RF,temperature,>25°C,0.7365805168986084
RF,precipitation,Rainy,0.7376800606520091
RF,precipitation,Dry,0.7567776917118513
KNN,temperature,<0°C,0.6634615384615384
KNN,temperature,0-15°C,0.5410852713178295
KNN,temperature,15-25°C,0.5419440745672437
KNN,temperature,>25°C,0.5785288270377733
KNN,precipitation,Rainy,0.5595147839272175
KNN,precipitation,Dry,0.5716498838109992
